Num. Onda (cm-1),A_Muestra,A_Muestra +5%silice,A_Muestra+10%Silice
4000,0.023604163,0.019451261,0.025258095
3998,0.0238335,0.017141058,0.025166045
3996,0.022413562,0.018000286,0.0238335
3994,0.021865153,0.019042684,0.023925268
3992,0.024292536,0.019632974,0.02397116
3990,0.020952673,0.01623844,0.02264227
3988,0.022230682,0.016463918,0.022047879
3986,0.024660115,0.02017857,0.02420069
3984,0.022367835,0.016644386,0.024706085
3982,0.022459294,0.017141058,0.022825324
3980,0.023100049,0.018634491,0.024246611
3978,0.021865153,0.019723859,0.024844022
3976,0.026733564,0.016689514,0.024568191
3974,0.018634491,0.017909761,0.021728158
3972,0.024017056,0.015292706,0.023008455
3970,0.021499931,0.017141058,0.021591207
3968,0.02397116,0.016915227,0.026041314
3966,0.023604163,0.019315026,0.027380661
3964,0.024338467,0.016013078,0.024384402
3962,0.022093572,0.018543833,0.024798038
3960,0.023191663,0.02017857,0.025120027
3958,0.021636853,0.017955021,0.025074014
3956,0.021317435,0.018770513,0.027010773
3954,0.020952673,0.019678414,0.02420069
3952,0.02489001,0.018498512,0.025442255
3950,0.020770407,0.021089423,0.023925268
3948,0.022825324,0.020952673,0.025718641
3946,0.02086153,0.014977918,0.027288159
3944,0.022825324,0.018271975,0.026595026
3942,0.024017056,0.01899731,0.027658284
3940,0.025902996,0.018181393,0.025166045
3938,0.023145853,0.019451261,0.023650021
3936,0.024108864,0.018770513,0.027982401
3934,0.023191663,0.016103209,0.025995203
3932,0.027149444,0.019723859,0.027426919
3930,0.025212068,0.020360588,0.02608743
3928,0.024246611,0.018453195,0.025718641
3926,0.024430342,0.017186238,0.026779753
3924,0.020724852,0.018045556,0.028816959
3922,0.021773818,0.017819254,0.028492218
3920,0.023741751,0.020042107,0.028677755
3918,0.023512463,0.022413562,0.03193754
3916,0.024660115,0.019542108,0.027612001
3914,0.025949097,0.019678414,0.030397735
3912,0.02017857,0.017774008,0.02974613
3910,0.024154775,0.019088062,0.028214062
3908,0.025304128,0.021865153,0.029420694
3906,0.027380661,0.018634491,0.029885678
3904,0.027149444,0.023604163,0.032031037
3902,0.026595026,0.019905686,0.029978734
3900,0.027103216,0.018136109,0.02923484
3898,0.021591207,0.020042107,0.027010773
3896,0.023283296,0.017276612,0.023650021
3894,0.021591207,0.015832873,0.030164907
3892,0.028445847,0.020770407,0.029839157
3890,0.02751945,0.019360433,0.034704204
3888,0.024982002,0.016689514,0.032077793
3886,0.022230682,0.021317435,0.033201454
3884,0.027056992,0.021773818,0.030397735
3882,0.019814763,0.015877917,0.029699625
3880,0.022276395,0.020542682,0.028214062
3878,0.023879382,0.017367006,0.032218092
3876,0.022550773,0.023237477,0.027889772
3874,0.025074014,0.018271975,0.030211463
3872,0.023604163,0.020724852,0.032592443
3870,0.025304128,0.020679303,0.03461013
3868,0.024660115,0.020224067,0.031890799
3866,0.026271941,0.017728767,0.031517051
3864,0.026825947,0.020497151,0.030957033
3862,0.021956506,0.022505031,0.031844063
3860,0.026779753,0.019224226,0.029049066
3858,0.024384402,0.01623844,0.029327757
3856,0.025902996,0.024936004,0.035646071
3854,0.028445847,0.027473182,0.037678027
3852,0.032405227,0.02200219,0.03574037
3850,0.020724852,0.013228266,0.026595026
3848,0.02017857,0.017593071,0.030211463
3846,0.022871099,0.019723859,0.031283623
3844,0.02397116,0.022459294,0.035457534
3842,0.02200219,0.022276395,0.035269079
3840,0.027936084,0.020224067,0.036589984
3838,0.025442255,0.020815966,0.03881629
3836,0.029002634,0.02291688,0.033717438
3834,0.022230682,0.021819483,0.034469056
3832,0.023787623,0.018543833,0.035598929
3830,0.021545567,0.019996628,0.037299268
3828,0.023650021,0.023145853,0.035551792
3826,0.024476287,0.019405844,0.037820147
3824,0.028863371,0.02086153,0.037110013
3822,0.027426919,0.022871099,0.040529298
3820,0.028353118,0.028538595,0.042440598
3818,0.023329119,0.024614151,0.038958783
3816,0.028214062,0.021363052,0.035881857
3814,0.026825947,0.023237477,0.034516076
3812,0.021773818,0.020451625,0.032826577
3810,0.023558311,0.024752059,0.032592443
3808,0.030164907,0.023558311,0.040863169
3806,0.027797162,0.024338467,0.042536384
3804,0.022688027,0.019269623,0.039053804
3802,0.023512463,0.022550773,0.040576978
